"id","name","phone","email","logo","latitude","longitude","address","footer_text","minimum_order","comission","schedule_order","status","vendor_id","created_at","updated_at","free_delivery","rating","cover_photo","delivery","take_away","item_section","tax","zone_id","reviews_section","active","off_day","gst","self_delivery_system","pos_system","minimum_shipping_charge","delivery_time","veg","non_veg","order_count","total_order","module_id","order_place_to_schedule_interval","featured","per_km_shipping_charge","prescription_order","slug","maximum_shipping_charge","cutlery","meta_title","meta_description","meta_image","announcement","announcement_message","store_business_model","package_id","pickup_zone_id","comment","tin","tin_expire_date","tin_certificate_image"
"37","vijay Egg Store","+919501373807","amankhanna7748@gamil.com","2025-07-07-686bbf1912ec0.png","29.94910135124746","76.05281051248312","W3X3+J3V, Jakhal Rd, Patran, Punjab 147105, India",NULL,"0.00",NULL,"0","0","37","2025-07-07 18:05:37","2026-01-05 17:30:24","0",NULL,"2025-07-07-686bbf19161b2.png","1","1","1","5.00","2","1","1"," ",NULL,"0","0","0.00","10-15 minute","1","1","0","0","2","0","0","0.000","0","vijay-egg-store",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,NULL,NULL,NULL
"38","Mr. Rolls & Shakes","+917710600220","mr.rollsandshakes.patran@gmail.com","2025-07-09-686e1ad21455a.png","29.94428945571856","76.06159455898668","Keshav Market",NULL,"50.00","25.01","0","1","38","2025-07-09 13:01:30","2026-05-18 16:04:38","0","{""1"":8,""2"":1,""3"":1,""4"":5,""5"":14}","2025-10-11-68e9dafdc5a5e.png","1","1","1","0.00","2","1","1"," ",NULL,"0","0","0.00","35-40 min","1","1","523","600","2",NULL,"1","0.000","0","mr-rolls-shakes",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-30",NULL
"39","Sagar Snacks Bar","+919814620133","gargshanker830@gmail.com","2025-07-11-6870d6c0ab7eb.png","29.943163765579087","76.0645906137514","New Bus Stand",NULL,"50.00","23.00","0","1","39","2025-07-10 15:34:09","2026-05-17 20:33:49","0","{""1"":3,""2"":0,""3"":1,""4"":0,""5"":1}","2025-10-11-68e9d2cfcae18.png","1","1","1","0.00","2","1","1"," ",NULL,"0","0","0.00","35-40 min","1","1","82","114","2",NULL,"1","0.000","0","sagar-snacks-bar",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-30",NULL
"40","5911 Golgappa Junction","+917889271457","kalaram9815181590qwer@gmail.com","2025-07-12-6872045eda8e5.png","29.961386110044856","76.05587359517813","1361, Patran, Punjab 147105, India",NULL,"0.00",NULL,"0","0","40","2025-07-12 12:14:46","2026-01-05 17:30:24","0",NULL,"2025-07-12-6872045edded9.png","1","1","1","1234.00","2","1","1"," ",NULL,"0","0","0.00","5-10 minute","1","1","0","0","2","0","0","0.000","0","5911-golgappa-junction",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,NULL,NULL,NULL
"41","Gff Juice Bar","+918054982155","Pupindersaggu763@gmail.com","2025-07-29-6888b3066cd4f.png","29.955074856986112","76.05231026082569","Old Bus Stand",NULL,"50.00","23.00","0","1","41","2025-07-12 17:38:56","2026-05-16 14:47:45","0","{""1"":0,""2"":0,""3"":0,""4"":0,""5"":2}","2025-10-11-68e9d692d3e88.png","1","1","1","0.00","2","1","1"," ",NULL,"0","0","0.00","15-30 min","1","0","23","33","2",NULL,"1","0.000","0","gff-juice-bar",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-30",NULL
"42","Sk Restaurant","+919807230000","thakurjeet458@gmail.com","2025-08-14-689dc50000add.png","30.027350217436553","76.11234344659654","Near Mandi Ghagga",NULL,"100.00","25.00","0","1","42","2025-07-13 16:35:12","2026-03-03 20:23:16","0","{""1"":1,""2"":0,""3"":3,""4"":4,""5"":17}","2025-11-04-6909f0849f1c4.png","1","0","1","0.00","4","1","1"," ","{""status"":""0"",""code"":null}","0","0","0.00","30-40 min","1","1","150","176","2","0","1","0.000","0","sk-restaurant","0.000","1",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-31",NULL
"46","Shama Chicken Dhaba","+919758131293","ishratali.patran@gmail.com","2025-08-18-68a345057f4df.png","29.950387965970155","76.05710114557066","Narwana Road Patran",NULL,"50.00","18.10","0","1","46","2025-07-18 14:46:31","2026-05-18 20:30:00","0","{""1"":10,""2"":1,""3"":3,""4"":2,""5"":20}","2025-10-11-68e9c80abf306.png","1","1","1","0.00","2","1","1"," ","{""status"":""0"",""code"":null}","0","0","0.00","33-40 min","1","1","539","633","2","0","1","0.000","0","shama-chicken-dhaba","0.000","1",NULL,NULL,NULL,"0",NULL,"commission",NULL,NULL,NULL,"12345","2025-10-31",NULL
"47","komalLove","+916283000162","komalpreetkaur9938@gmail.com","2025-07-21-687dfacf9843f.png","29.950790631903583","76.05759892612696","X324+5V2, Patran, Punjab 147105, India",NULL,"0.00",NULL,"0","0","47","2025-07-21 14:01:11","2026-01-05 17:30:24","0",NULL,"2025-07-21-687dfacf9b881.png","1","1","1","2.00","2","1","1"," ",NULL,"0","0","0.00","20-40 minute","1","1","0","0","2","0","0","0.000","0","komallove",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,NULL,NULL,NULL
"48","Reddu Dairy Sweets","+919877777752","manireddu98@gmail.com","2025-07-29-6888b462ce7ab.png","29.949821917579033","76.05291310033401","Jakhal Road",NULL,"50.00","13.60","0","1","48","2025-07-22 05:34:54","2026-05-06 19:23:50","0","{""1"":0,""2"":0,""3"":0,""4"":0,""5"":1}","2025-10-11-68e9d48449b05.png","1","1","1","0.00","2","1","1"," ",NULL,"0","0","0.00","15-30 min","1","0","29","57","2",NULL,"1","0.000","0","reddu-dairy-sweets",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-30",NULL
"52","Urban Grill","+916280006191","charnjeetsinghchanni508@gmail.com","2025-07-22-687f9242738db.png","29.943698656053535","76.06441643089056","Narwana Road, Patran, Punjab 147105, India",NULL,"0.00",NULL,"0","0","52","2025-07-22 18:59:38","2026-01-05 17:30:24","0",NULL,"2025-07-22-687f9242771de.png","1","1","1","8000.00","2","1","1"," ",NULL,"0","0","0.00","10-20 minute","1","1","0","0","2","0","0","0.000","0","urban-grill",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,NULL,NULL,NULL
"54","Mr Sanders Island","+919563656000","mrsandersisland@gmail.com","2025-07-26-688474e8e1832.png","29.95279830000001","76.05462800000001","Narwana Road",NULL,"50.00","24.85","0","0","54","2025-07-26 11:55:44","2026-03-18 21:01:31","0","{""1"":3,""2"":0,""3"":5,""4"":3,""5"":28}","2025-10-11-68e9c20a3541f.png","1","1","1","0.00","2","1","0"," ",NULL,"0","0","0.00","15-30 min","1","0","407","457","2",NULL,"1","0.000","0","mr-sanders-island",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-31",NULL
"55","Balaji Sweets","+916377700602","supyar.sun@gmail.com","2025-07-27-6885e62dd5215.png","29.95179430000001","76.05315720000002","Jakhal Road",NULL,"50.00","20.80","0","1","55","2025-07-27 14:11:17","2026-05-19 16:19:23","0","{""1"":6,""2"":0,""3"":1,""4"":2,""5"":13}","2025-10-11-68e9c9e896f02.png","1","1","1","0.00","2","1","1"," ",NULL,"0","0","0.00","15-30 min","1","0","254","300","2",NULL,"1","0.000","0","balaji-sweets",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-31",NULL
"56","Kaleka Haveli Dugal","+918699614864","randhirsinghh9087@gmail.com","2025-08-07-68947b363c82c.png","29.983295634371167","76.03502794226178","Kaleka Haveli Dugal",NULL,"100.00","29.10","0","1","56","2025-07-27 18:05:29","2026-05-16 21:10:07","0","{""1"":3,""2"":0,""3"":0,""4"":1,""5"":0}","2025-10-11-68e9d1ad9ae04.png","1","1","1","0.00","2","1","1"," ",NULL,"0","0","0.00","35-40 min","1","0","41","62","2",NULL,"1","0.000","0","kaleka-haveli-dugal",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-31",NULL
"57","RedGo Grocery Store","+91906932200","arscheema301@gmail.com","2025-07-31-688b5173593cf.png","30.131353257783104","76.18614710238366",NULL,NULL,"0.00",NULL,"0","1","57","2025-07-31 16:50:19","2026-01-05 17:30:24","0",NULL,"2025-07-31-688b51735bc85.png","1","0","1","0.00","3","1","1"," ",NULL,"0","0","0.00","15-30 min","1","1","1","1","1","0","1","0.000","0","redgo-grocery-store",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,NULL,NULL,NULL,NULL,NULL
"58","Sun Beams 19","+919915148111","gurpreetsingh50131@gmail.com","2025-08-01-688c8b40749e4.png","29.942334400000007","76.0516267","Jakhal Road",NULL,"100.00","25.00","0","1","58","2025-08-01 15:09:12","2026-05-19 16:10:03","0","{""1"":10,""2"":2,""3"":11,""4"":12,""5"":26}","2025-10-11-68e9c4fde8f60.png","1","1","1","0.00","2","1","1"," ",NULL,"0","0","0.00","35-40 min","1","0","443","481","2",NULL,"1","0.000","0","sun-beams-19",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-31",NULL
"59","Sher E Punjab Dhaba","+919501413179","Mangaghagga@gmail.com","2025-08-11-6899bcbbf1fce.png","30.028106388441046","76.11254590921213","Ghagga Mandi",NULL,"100.00","13.00","0","1","59","2025-08-11 15:19:48","2026-05-01 14:32:29","0","{""1"":1,""2"":0,""3"":0,""4"":1,""5"":3}","2025-11-04-6909f0b97b45c.png","1","1","1","0.00","4","1","1"," ",NULL,"0","0","0.00","25-34 min","1","1","98","105","2",NULL,"1","0.000","0","sher-e-punjab",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2027-12-10",NULL
"60","Jindal Plastic and Crockery House","+916239173548","Jindalravi71@gmail.com","2025-08-13-689c5ff57cf89.png","29.9443404111225","76.0590410293115","W3V6+W2Q, Patran - Narwana Rd, Puda Colony, Patran, Punjab 147105, India",NULL,"0.00",NULL,"0","0","60","2025-08-13 15:20:45","2026-01-05 17:30:24","0",NULL,"2025-08-13-689c5ff580415.png","1","1","1","18.00","2","1","1"," ",NULL,"0","0","0.00","20-30 minute","1","1","0","0","2","0","0","0.000","0","jindal-plastic-and-crockery-house",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,NULL,NULL,NULL
"61","RedGo Mart","+919877622910","redgomart@gmail.com","2025-08-25-68ac49049b104.png","29.939897434096018","76.06085605709569",NULL,NULL,"0.00",NULL,"0","1","61","2025-08-19 15:28:51","2026-01-05 17:30:24","0",NULL,"2025-08-25-68ac49049efc9.png","1","1","1","0.00","2","1","1"," ",NULL,"0","0","0.00","20-40 min","1","1","2","2","4","0","0","0.000","0","redgo-mart",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,NULL,NULL,NULL,NULL,NULL
"62","Shree Shyam Sweets & Bakery","+919653199221","Ajay777goyal@gmail.com","2025-08-24-68aaabde21336.png","30.019282111473125","76.10486383966138","Bus Stand Ghagga",NULL,"100.00","15.00","0","1","62","2025-08-24 11:36:22","2026-03-06 18:42:10","0","{""1"":0,""2"":0,""3"":2,""4"":2,""5"":7}","2025-11-04-6909f1f78cf6a.png","1","1","1","0.00","4","1","1"," ","{""status"":""0"",""code"":null}","0","0","0.00","15-30 min","1","0","98","139","2",NULL,"1","0.000","0","shree-shyam-sweets-bakery","0.000","1","Ajay Goyal","Ajay Goyal",NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2027-10-12",NULL
